ScanNumber	ScanTypeName	ScanType	ScanTime
1	HMS	1	0.0005
2	HMS	1	0.0044
3	HMS	1	0.0082
4	HCD-HMSn	2	0.0094
5	HCD-HMSn	2	0.0116
6	HMS	1	0.0139
7	HMS	1	0.0186
8	HMS	1	0.0224
9	HMS	1	0.0263
10	HMS	1	0.0302
11	HMS	1	0.0340
12	HCD-HMSn	2	0.0352
13	HMS	1	0.0380
14	HMS	1	0.0423
15	HMS	1	0.0462
16	HMS	1	0.0500
17	HMS	1	0.0539
18	HMS	1	0.0577
19	HMS	1	0.0616
20	HCD-HMSn	2	0.0628
21	HMS	1	0.0656
22	HMS	1	0.0699
23	HMS	1	0.0738
24	HMS	1	0.0776
25	HMS	1	0.0815
26	HMS	1	0.0853
27	HMS	1	0.0892
28	HMS	1	0.0930
29	HMS	1	0.0969
30	HMS	1	0.1008
31	HMS	1	0.1046
32	HMS	1	0.1085
33	HMS	1	0.1123
34	HMS	1	0.1161
35	HMS	1	0.1200
36	HMS	1	0.1238
37	HMS	1	0.1277
38	HMS	1	0.1316
39	HCD-HMSn	2	0.1327
40	HMS	1	0.1355
41	HMS	1	0.1399
42	HMS	1	0.1437
43	HMS	1	0.1476
44	HMS	1	0.1514
45	HMS	1	0.1553
46	HMS	1	0.1591
47	HMS	1	0.1630
48	HMS	1	0.1669
49	HMS	1	0.1707
50	HMS	1	0.1746
51	HMS	1	0.1784
52	HMS	1	0.1823
53	HMS	1	0.1861
54	HMS	1	0.1900
55	HMS	1	0.1939
56	HMS	1	0.1977
57	HMS	1	0.2016
58	HMS	1	0.2054
59	HMS	1	0.2093
60	HCD-HMSn	2	0.2104
61	HMS	1	0.2132
62	HMS	1	0.2176
63	HMS	1	0.2214
64	HMS	1	0.2253
65	HMS	1	0.2292
66	HMS	1	0.2330
67	HMS	1	0.2368
68	HMS	1	0.2407
69	HMS	1	0.2445
70	HMS	1	0.2484
71	HMS	1	0.2522
72	HMS	1	0.2561
73	HMS	1	0.2600
74	HMS	1	0.2638
75	HMS	1	0.2676
76	HMS	1	0.2715
77	HMS	1	0.2753
78	HMS	1	0.2792
79	HMS	1	0.2830
80	HMS	1	0.2868
81	HMS	1	0.2907
82	HMS	1	0.2946
83	HMS	1	0.2984
84	HMS	1	0.3023
85	HMS	1	0.3061
86	HMS	1	0.3100
87	HMS	1	0.3138
88	HMS	1	0.3176
89	HMS	1	0.3215
90	HMS	1	0.3253
91	HMS	1	0.3292
92	HMS	1	0.3331
93	HMS	1	0.3369
94	HMS	1	0.3408
95	HMS	1	0.3446
96	HMS	1	0.3484
97	HMS	1	0.3523
98	HMS	1	0.3561
99	HMS	1	0.3600
100	HMS	1	0.3638
101	HMS	1	0.3677
102	HMS	1	0.3715
103	HMS	1	0.3754
104	HCD-HMSn	2	0.3765
105	HMS	1	0.3793
106	HMS	1	0.3836
107	HMS	1	0.3874
108	HMS	1	0.3913
109	HMS	1	0.3952
110	HMS	1	0.3990
111	HMS	1	0.4029
112	HMS	1	0.4067
113	HMS	1	0.4106
114	HMS	1	0.4144
115	HMS	1	0.4182
116	HMS	1	0.4221
117	HMS	1	0.4259
118	HMS	1	0.4298
119	HMS	1	0.4336
120	HMS	1	0.4375
121	HMS	1	0.4413
122	HMS	1	0.4451
123	HMS	1	0.4490
124	HCD-HMSn	2	0.4501
125	HMS	1	0.4529
126	HMS	1	0.4573
127	HCD-HMSn	2	0.4584
128	HMS	1	0.4612
129	HCD-HMSn	2	0.4627
130	HMS	1	0.4655
131	HMS	1	0.4698
132	HMS	1	0.4737
133	HMS	1	0.4775
134	HMS	1	0.4813
135	HMS	1	0.4852
136	HMS	1	0.4890
137	HMS	1	0.4929
138	HMS	1	0.4968
139	HMS	1	0.5006
140	HCD-HMSn	2	0.5018
141	HMS	1	0.5045
142	HMS	1	0.5089
143	HMS	1	0.5127
144	HMS	1	0.5165
145	HMS	1	0.5237
146	HMS	1	0.5276
147	HMS	1	0.5315
148	HMS	1	0.5353
149	HMS	1	0.5391
150	HMS	1	0.5430
151	HMS	1	0.5468
152	HCD-HMSn	2	0.5480
153	HMS	1	0.5507
154	HMS	1	0.5551
155	HMS	1	0.5589
156	HMS	1	0.5628
157	HMS	1	0.5666
158	HMS	1	0.5705
159	HMS	1	0.5743
160	HMS	1	0.5781
161	HMS	1	0.5820
162	HCD-HMSn	2	0.5831
163	HMS	1	0.5859
164	HMS	1	0.5903
165	HMS	1	0.5941
166	HCD-HMSn	2	0.5953
167	HMS	1	0.5981
168	HMS	1	0.6024
169	HCD-HMSn	2	0.6036
170	HMS	1	0.6063
171	HCD-HMSn	2	0.6079
172	HMS	1	0.6107
173	HMS	1	0.6150
174	HMS	1	0.6188
175	HMS	1	0.6227
176	HCD-HMSn	2	0.6238
177	HMS	1	0.6275
178	HCD-HMSn	2	0.6286
179	HMS	1	0.6314
180	HMS	1	0.6357
181	HMS	1	0.6396
182	HMS	1	0.6434
183	HMS	1	0.6472
184	HMS	1	0.6511
185	HMS	1	0.6549
186	HMS	1	0.6587
187	HMS	1	0.6626
188	HMS	1	0.6665
189	HMS	1	0.6703
190	HMS	1	0.6742
191	HMS	1	0.6780
192	HMS	1	0.6818
193	HMS	1	0.6857
194	HMS	1	0.6895
195	HMS	1	0.6934
196	HMS	1	0.6972
197	HMS	1	0.7011
198	HMS	1	0.7049
199	HMS	1	0.7088
200	HCD-HMSn	2	0.7099
201	HMS	1	0.7125
202	HMS	1	0.7170
203	HMS	1	0.7208
204	HMS	1	0.7247
205	HMS	1	0.7286
206	HMS	1	0.7324
207	HMS	1	0.7362
208	HMS	1	0.7401
209	HMS	1	0.7439
210	HMS	1	0.7478
211	HMS	1	0.7516
212	HMS	1	0.7554
213	HMS	1	0.7593
214	HMS	1	0.7632
215	HMS	1	0.7670
216	HMS	1	0.7708
217	HCD-HMSn	2	0.7720
218	HMS	1	0.7748
219	HMS	1	0.7791
220	HMS	1	0.7829
221	HMS	1	0.7868
222	HMS	1	0.7906
223	HMS	1	0.8008
224	HMS	1	0.8046
225	HMS	1	0.8085
226	HMS	1	0.8123
227	HMS	1	0.8162
228	HMS	1	0.8200
229	HMS	1	0.8238
230	HMS	1	0.8277
231	HMS	1	0.8316
232	HMS	1	0.8354
233	HMS	1	0.8392
234	HMS	1	0.8431
235	HMS	1	0.8469
236	HMS	1	0.8508
237	HMS	1	0.8546
238	HMS	1	0.8584
239	HMS	1	0.8623
240	HCD-HMSn	2	0.8635
241	HMS	1	0.8662
242	HMS	1	0.8706
243	HMS	1	0.8744
