Scan_Group_ID	Charge	Scan
1	3	8060
2	3	7331
3	3	6332
4	3	8058
5	2	2679
6	3	6216
7	3	4560
8	2	7168
9	3	4671
10	2	7204
11	3	6112
12	3	7487
13	3	5818
14	2	7770
15	2	3911
16	3	6842
16	3	6843
17	2	3560
18	2	5443
19	2	5908
20	3	7091
21	2	6452
22	3	7582
23	2	4562
24	2	3959
25	3	5782
26	2	4031
27	3	3864
28	3	6522
29	3	4512
30	3	4654
31	3	8000
32	3	6540
33	2	4802
34	2	7495
35	3	6019
36	2	6479
37	3	7394
37	3	7395
38	4	7218
39	3	6712
40	2	7966
41	3	6644
42	2	7048
43	2	4739
44	2	1507
45	2	6592
46	2	5591
47	2	7419
48	2	2491
49	2	6166
50	2	4883
51	3	5367
52	3	4712
53	2	1582
54	2	7263
55	3	5582
56	2	3548
57	2	5158
58	2	5958
59	3	7164
60	4	8047
61	3	6318
62	2	4740
63	3	5840
64	2	7087
65	2	5567
66	2	5376
67	3	5796
68	3	6266
69	2	6772
70	4	6046
71	3	4642
72	2	5446
73	4	7867
74	2	5594
75	2	5184
76	2	1499
77	3	4235
78	2	2954
79	2	4611
80	2	5256
81	3	6104
82	2	7062
83	2	7420
84	2	3950
85	2	6066
86	2	5034
87	3	4383
88	2	4691
89	2	6880
90	3	6192
91	3	3000
92	2	5487
93	2	7564
94	4	7406
95	2	6924
95	2	7071
96	3	7790
97	1	2272
98	3	7119
99	2	5426
99	2	5427
100	3	5398
101	2	3144
102	3	7590
103	2	7540
104	2	7527
105	3	6240
106	3	4504
107	3	5694
108	2	3752
109	2	5164
110	2	8015
111	3	5344
112	3	6718
113	2	2870
114	3	5134
115	2	6520
116	2	6122
117	2	3252
118	3	5416
119	2	5102
120	3	6102
121	3	7998
122	2	5690
123	2	3247
124	2	3874
125	2	5651
126	3	4656
127	3	4530
128	2	7548
129	2	7303
130	3	4423
131	2	5795
132	2	3856
133	3	4779
134	3	6420
135	2	5126
136	3	7703
137	3	7472
138	2	7631
139	2	4566
140	2	3227
141	2	7476
142	2	6070
143	2	5479
144	4	7407
145	2	4747
146	3	6286
147	2	7579
148	2	5679
149	3	3860
150	3	5570
151	3	7368
152	2	3070
153	3	6290
153	3	6291
