Loaded resourcer: AnalysisManagerMSGFDBPlugin.clsAnalysisResourcesMSGFDB from AnalysisManagerMSGFDBPlugin.dll
Loaded ToolRunner: AnalysisManagerMSGFDBPlugin.clsAnalysisToolRunnerMSGFDB from AnalysisManagerMSGFDBPlugin.dll


=====================================================================================


Job Number	838496
Job Step	3
Date	5/8/2012 3:58:30 PM
Processor	Pub-80-3
Tool	MSGFDB
Dataset Name	QC_Shew_11_06_Run-03_7May12_Roc_12-04-08
Xfer Folder	\\proto-3\DMS3_Xfer\
Param File Name	MSGFDB_PartTryp_MetOx_50ppmParTol_NoDecoy_EstimateFDR.txt
Settings File Name	IonTrapDefSettings_DeconMSN.xml
Legacy Organism Db Name	ID_003456_9B916A8B.fasta
Protein Collection List	Shewanella_oneidensis_MR1_2010-04-22,Tryp_Pig_Bov
Protein Options List	seq_direction=forward,filetype=fasta
Fasta File Name	ID_003456_9B916A8B.fasta
Analysis Time (hh:mm:ss)	0:04:23


=====================================================================================


File:             C:\DMS_Programs\AnalysisToolManager3\AM_Shared.dll
Product:          AM_Shared
ProductVersion:   2.3.4510.25026

File:             C:\DMS_Programs\AnalysisToolManager3\AnalysisManagerDecon2lsPlugIn.dll
Product:          AnalysisManagerDecon2lsPlugIn
ProductVersion:   1.0.4485.26355

File:             C:\DMS_Programs\AnalysisToolManager3\AnalysisManagerDecon2lsV2PlugIn.dll
Product:          AnalysisManagerDecon2lsV2PlugIn
ProductVersion:   1.0.4485.26335

File:             C:\DMS_Programs\AnalysisToolManager3\AnalysisManagerDtaImportPlugIn.dll
Product:          AnalysisManagerDtaImportPlugIn
ProductVersion:   1.0.4483.28721

File:             C:\DMS_Programs\AnalysisToolManager3\AnalysisManagerDtaRefineryPlugIn.dll
Product:          AnalysisManagerDtaRefineryPlugIn
ProductVersion:   1.0.4485.26288

File:             C:\DMS_Programs\AnalysisToolManager3\AnalysisManagerDtaSplitPlugIn.dll
Product:          AnalysisManagerDtaSplitPlugIn
ProductVersion:   1.0.4485.26315

File:             C:\DMS_Programs\AnalysisToolManager3\AnalysisManagerExtractionPlugin.dll
Product:          AnalysisManagerExtractionPlugin
ProductVersion:   1.2.4504.29762

File:             C:\DMS_Programs\AnalysisToolManager3\AnalysisManagerICR2LSPlugIn.dll
Product:          AnalysisManagerICR2LSPlugIn
ProductVersion:   1.0.4485.29141

File:             C:\DMS_Programs\AnalysisToolManager3\AnalysisManagerInSpecTPlugIn.dll
Product:          AnalysisManagerInSpecTPlugIn
ProductVersion:   1.0.4485.26393

File:             C:\DMS_Programs\AnalysisToolManager3\AnalysisManagerInspResultsAssemblyPlugIn.dll
Product:          AnalysisManagerInspResultsAssemblyPlugIn
ProductVersion:   1.0.4485.26399

File:             C:\DMS_Programs\AnalysisToolManager3\AnalysisManagerLCMSFeatureFinderPlugIn.dll
Product:          AnalysisManagerLCMSFeatureFinderPlugIn
ProductVersion:   1.0.4485.26577

File:             C:\DMS_Programs\AnalysisToolManager3\AnalysisManagerMasicPlugin.dll
Product:          AnalysisManagerMasicPlugin
ProductVersion:   1.0.4484.28418

File:             C:\DMS_Programs\AnalysisToolManager3\AnalysisManagerMSAlignPlugIn.dll
Product:          AnalysisManagerMSAlignPlugIn
ProductVersion:   1.0.4485.26416

File:             C:\DMS_Programs\AnalysisToolManager3\AnalysisManagerMSClusterDTAtoDATPlugIn.dll
Product:          AnalysisManagerMSClusterDTAtoDATPlugIn
ProductVersion:   1.0.4483.30263

File:             C:\DMS_Programs\AnalysisToolManager3\AnalysisManagerMSDeconvPlugIn.dll
Product:          AnalysisManagerMSDeconvPlugIn
ProductVersion:   1.0.4485.26433

File:             C:\DMS_Programs\AnalysisToolManager3\AnalysisManagerMSGFDBPlugIn.dll
Product:          AnalysisManagerMSGFDBPlugIn
ProductVersion:   1.0.4510.30492

