Scan_Number_Start	Scan_Number_End	Charge	Quality_Score	Precursor_MZ	BPI
3	3	2	1	919.0923	0
3	3	3	1	919.0923	0
4	4	2	1	919.0923	0
4	4	3	1	919.0923	0
5	5	2	1	909.6178	0
5	5	3	1	909.6178	0
6	6	2	1	909.6178	0
6	6	3	1	909.6178	0
7	7	2	1	761.2225	0
7	7	3	1	761.2225	0
8	8	2	1	761.2225	0
8	8	3	1	761.2225	0
10	10	2	1	1129.5862	0
10	10	3	1	1129.5861	0
11	11	2	1	1129.5862	0
11	11	3	1	1129.5861	0
12	12	2	1	960.5977	0
12	12	3	1	960.5976	0
13	13	2	1	960.5977	0
13	13	3	1	960.5976	0
15	15	2	1	1319.4657	0
15	15	3	1	1319.4657	0
16	16	2	1	1319.4657	0
16	16	3	1	1319.4657	0
17	17	2	1	1038.5347	0
17	17	3	1	1038.5347	0
18	18	2	1	1038.5347	0
18	18	3	1	1038.5347	0
19	19	2	1	589.9995	0
19	19	3	1	589.9995	0
21	21	2	1	760.2198	0
21	21	3	1	760.2198	0
22	22	2	1	760.2198	0
22	22	3	1	760.2198	0
23	23	2	1	1087.5844	0
23	23	3	1	1087.5842	0
24	24	2	1	1087.5844	0
24	24	3	1	1087.5842	0
25	25	2	1	1285.0034	0
25	25	3	1	1285.0034	0
26	26	2	1	1285.0034	0
26	26	3	1	1285.0034	0
28	28	2	1	1067.0259	0
28	28	3	1	1067.0258	0
29	29	2	1	1067.0259	0
29	29	3	1	1067.0258	0
30	30	1	1	741.1984	0
31	31	1	1	741.1984	0
33	33	2	1	758.2231	0
33	33	3	1	758.2231	0
34	34	2	1	758.2231	0
34	34	3	1	758.2231	0
37	37	2	1	1322.0303	0
37	37	3	1	1322.0302	0
38	38	2	1	1322.0303	0
38	38	3	1	1322.0302	0
40	40	2	1	394.7967	0
41	41	2	1	394.7967	0
43	43	2	1	1415.4415	0
43	43	3	1	1415.4415	0
44	44	2	1	1415.4415	0
44	44	3	1	1415.4415	0
46	46	2	1	1179.5315	0
46	46	3	1	1179.5315	0
47	47	2	1	1179.5315	0
47	47	3	1	1179.5315	0
49	49	2	1	754.7461	0
49	49	3	1	754.746	0
50	50	2	1	754.7461	0
50	50	3	1	754.746	0
52	52	2	1	1248.475	0
52	52	3	1	1248.4749	0
53	53	2	1	1248.475	0
53	53	3	1	1248.4749	0
54	54	2	1	980.8835	0
54	54	3	1	980.8835	0
56	56	2	1	1175.0502	0
56	56	3	1	1175.0502	0
57	57	2	1	1175.0502	0
57	57	3	1	1175.0502	0
58	58	2	1	1333.9021	0
58	58	3	1	1333.9021	0
59	59	2	1	500.8738	0
59	59	3	1	500.8738	0
60	60	2	1	500.8738	0
60	60	3	1	500.8738	0
61	61	2	1	1131.0011	0
61	61	3	1	1131.0011	0
62	62	2	1	1131.0011	0
62	62	3	1	1131.0011	0
63	63	2	1	442.9994	0
63	63	3	1	442.9994	0
65	65	2	1	1371.9696	0
65	65	3	1	1371.9695	0
66	66	2	1	1371.9696	0
66	66	3	1	1371.9695	0
68	68	2	1	890.7231	0
68	68	3	1	890.723	0
69	69	2	1	890.7231	0
69	69	3	1	890.723	0
70	70	1	1	815.2164	0
71	71	1	1	815.2164	0
73	73	2	1	1297.964	0
73	73	3	1	1297.9639	0
74	74	2	1	1297.964	0
74	74	3	1	1297.9639	0
76	76	2	1	874.7479	0
76	76	3	1	874.7479	0
77	77	2	1	874.7479	0
77	77	3	1	874.7479	0
78	78	2	1	1056.5945	0
78	78	3	1	1056.5945	0
79	79	2	1	1056.5945	0
79	79	3	1	1056.5945	0
80	80	2	1	1064.547	0
80	80	3	1	1064.547	0
81	81	2	1	1064.547	0
81	81	3	1	1064.547	0
83	83	1	1	686.206	0
84	84	1	1	686.206	0
86	86	2	1	931.6172	0
86	86	3	1	931.6172	0
87	87	2	1	931.6172	0
87	87	3	1	931.6172	0
88	88	2	1	959.552	0
88	88	3	1	959.5519	0
89	89	2	1	959.552	0
89	89	3	1	959.5519	0
90	90	2	1	1095.6888	0
90	90	3	1	1095.6887	0
92	92	2	1	1221.5173	0
92	92	3	1	1221.5173	0
93	93	2	1	1221.5173	0
93	93	3	1	1221.5173	0
95	95	2	1	1252.0659	0
95	95	3	1	1252.0659	0
96	96	2	1	1252.0659	0
96	96	3	1	1252.0659	0
97	97	2	1	865.6232	0
97	97	3	1	865.6232	0
98	98	2	1	865.6232	0
98	98	3	1	865.6232	0
99	99	2	1	1385.4297	0
99	99	3	1	1385.4297	0
100	100	2	1	1385.4297	0
100	100	3	1	1385.4297	0
102	102	2	1	1217.5122	0
102	102	3	1	1217.5122	0
103	103	2	1	1217.5122	0
103	103	3	1	1217.5122	0
105	105	2	1	856.135	0
105	105	3	1	856.1349	0
106	106	2	1	856.135	0
106	106	3	1	856.1349	0
107	107	1	1	419.3169	0
108	108	1	1	419.3169	0
110	110	2	1	1245.4889	0
110	110	3	1	1245.4889	0
111	111	2	1	1245.4889	0
111	111	3	1	1245.4889	0
112	112	2	1	981.622	0
112	112	3	1	981.6219	0
113	113	2	1	981.622	0
113	113	3	1	981.6219	0
116	116	2	1	454.9038	0
116	116	3	1	454.9038	0
117	117	2	1	454.9038	0
117	117	3	1	454.9038	0
118	118	2	1	1251.5424	0
118	118	3	1	1251.5424	0
119	119	2	1	1251.5424	0
119	119	3	1	1251.5424	0
121	121	2	1	1309.993	0
121	121	3	1	1309.9929	0
122	122	2	1	1309.993	0
122	122	3	1	1309.9929	0
124	124	2	1	1192.973	0
124	124	3	1	1192.973	0
125	125	2	1	1192.973	0
125	125	3	1	1192.973	0
126	126	2	1	1266.4816	0
126	126	3	1	1266.4816	0
127	127	2	1	1266.4816	0
127	127	3	1	1266.4816	0
129	129	2	1	689.8312	0
129	129	3	1	689.8312	0
130	130	2	1	689.8312	0
130	130	3	1	689.8312	0
131	131	2	1	901.5984	0
131	131	3	1	901.5984	0
132	132	2	1	901.5984	0
132	132	3	1	901.5984	0
133	133	2	1	1106.0222	0
133	133	3	1	1106.0222	0
134	134	2	1	1106.0222	0
134	134	3	1	1106.0222	0
136	136	2	1	1134.5702	0
136	136	3	1	1134.5702	0
137	137	2	1	1134.5702	0
137	137	3	1	1134.5702	0
138	138	2	1	1349.5156	0
138	138	3	1	1349.5156	0
139	139	2	1	1349.5156	0
139	139	3	1	1349.5156	0
141	141	1	1	669.1783	0
142	142	1	1	669.1783	0
143	143	2	1	1372.4291	0
143	143	3	1	1372.429	0
144	144	2	1	1372.4291	0
144	144	3	1	1372.429	0
145	145	1	1	741.1983	0
146	146	1	1	741.1983	0
148	148	2	1	1295.6024	0
148	148	3	1	1295.6024	0
149	149	2	1	1295.6024	0
149	149	3	1	1295.6024	0
151	151	2	1	1332.483	0
151	151	3	1	1332.4829	0
152	152	2	1	1332.483	0
152	152	3	1	1332.4829	0
153	153	2	1	1047.5619	0
153	153	3	1	1047.5619	0
154	154	2	1	1047.5619	0
154	154	3	1	1047.5619	0
156	156	2	1	1154.5226	0
156	156	3	1	1154.5226	0
157	157	2	1	1154.5226	0
157	157	3	1	1154.5226	0
158	158	2	1	1418.0096	0
158	158	3	1	1418.0095	0
159	159	2	1	1418.0096	0
159	159	3	1	1418.0095	0
160	160	2	1	1206.001	0
160	160	3	1	1206.001	0
161	161	2	1	1206.001	0
161	161	3	1	1206.001	0
163	163	2	1	1357.5116	0
163	163	3	1	1357.5116	0
164	164	2	1	1357.5116	0
164	164	3	1	1357.5116	0
165	165	2	1	992.5659	0
165	165	3	1	992.5659	0
166	166	2	1	992.5659	0
166	166	3	1	992.5659	0
168	168	2	1	1313.9916	0
168	168	3	1	1313.9916	0
169	169	2	1	1313.9916	0
169	169	3	1	1313.9916	0
172	172	2	1	1373.472	0
172	172	3	1	1373.4719	0
173	173	2	1	1373.472	0
173	173	3	1	1373.4719	0
174	174	2	1	1137.6442	0
174	174	3	1	1137.644	0
175	175	2	1	1137.6442	0
175	175	3	1	1137.644	0
177	177	2	1	1206.4861	0
177	177	3	1	1206.4861	0
178	178	2	1	1206.4861	0
178	178	3	1	1206.4861	0
182	182	2	1	1434.9073	0
182	182	3	1	1434.9073	0
183	183	2	1	1434.9073	0
183	183	3	1	1434.9073	0
186	186	2	1	931.653	0
186	186	3	1	931.6529	0
187	187	2	1	931.653	0
