Reporter_Ion	Observation_Rate	Observation_Rate_Top80Pct
Ion_126.128 	84.993          	91.332
Ion_127.125 	80.601          	87.614
Ion_127.131 	86.826          	92.581
Ion_128.128 	85.537          	91.492
Ion_128.134 	80.706          	87.677
Ion_129.131 	81.833          	88.644
Ion_129.138 	86.455          	92.564
Ion_130.135 	84.014          	90.593
Ion_130.141 	84.956          	91.315
Ion_131.138 	88.339          	93.632
Ion_131.144 	88.454          	93.801
Ion_132.142 	87.157          	93.121
Ion_132.148 	52.343          	56.081
Ion_133.145 	42.424          	45.151
Ion_133.151 	98.542          	99.857
Ion_134.148 	98.417          	99.776
