Reporter_Ion	NonZeroCount_Top80Pct	Median_Top80Pct	InterQuartileRange_Top80Pct	LowerWhisker_Top80Pct	UpperWhisker_Top80Pct	NumberOfOutliers_Top80Pct
Ion_126.128 	21642                	62343          	140404                     	1035                 	374966               	2452                     
Ion_127.125 	20761                	41682          	92655                      	290                  	248428               	2318                     
Ion_127.131 	21938                	63025          	145204                     	898                  	386098               	2486                     
Ion_128.128 	21680                	69041          	166849                     	364                  	442099               	2512                     
Ion_128.134 	20776                	34375          	76346                      	72                   	204532               	2300                     
Ion_129.131 	21005                	41235          	90758                      	52                   	243045               	2298                     
Ion_129.138 	21934                	58050          	125783                     	1065                 	337542               	2385                     
Ion_130.135 	21467                	46083          	100236                     	287                  	268759               	2395                     
Ion_130.141 	21638                	52468          	117778                     	472                  	314543               	2400                     
Ion_131.138 	22187                	71605          	162005                     	238                  	431994               	2564                     
Ion_131.144 	22227                	75619          	182570                     	26                   	483472               	2553                     
Ion_132.142 	22066                	60200          	134974                     	441                  	360017               	2446                     
Ion_132.148 	13289                	8901           	17348                      	0                    	46942                	1420                     
Ion_133.145 	10699                	7830           	18467                      	1                    	48888                	1132                     
Ion_133.151 	23662                	1029693        	1988795                    	1261                 	5371849              	2451                     
Ion_134.148 	23643                	908557         	1721841                    	1111                 	4664455              	2409                     

Reporter_Ion	NonZeroCount         	Median         	InterQuartileRange         	LowerWhisker         	UpperWhisker         	NumberOfOutliers         
Ion_126.128 	25175                	53073          	123673                     	1035                 	328381               	2830                     
Ion_127.125 	23874                	36527          	81583                      	290                  	218139               	2678                     
Ion_127.131 	25718                	53153          	124352                     	747                  	329699               	2954                     
Ion_128.128 	25336                	59629          	145631                     	364                  	384332               	2920                     
Ion_128.134 	23905                	30279          	67938                      	56                   	181503               	2619                     
Ion_129.131 	24239                	36005          	80216                      	52                   	214155               	2658                     
Ion_129.138 	25608                	50012          	109907                     	359                  	293276               	2803                     
Ion_130.135 	24885                	40002          	88811                      	287                  	237182               	2771                     
Ion_130.141 	25164                	45440          	103367                     	472                  	275025               	2798                     
Ion_131.138 	26166                	60461          	140823                     	238                  	372888               	3008                     
Ion_131.144 	26200                	63997          	157320                     	26                   	414082               	3050                     
Ion_132.142 	25816                	51304          	117622                     	441                  	312197               	2872                     
Ion_132.148 	15504                	7769           	15688                      	0                    	42332                	1668                     
Ion_133.145 	12566                	6499           	16106                      	1                    	42282                	1348                     
Ion_133.151 	29188                	795615         	1737358                    	1057                 	4588305              	2950                     
Ion_134.148 	29151                	705440         	1516099                    	1078                 	4009719              	2876                     
